id,title,main_picture,alternative_titles,start_date,end_date,synopsis,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,pictures,background,related_anime,related_manga,recommendations,studios,statistics
20001,Mouretsu Atarou,"{'medium': 'https://cdn.myanimelist.net/images/anime/1895/124352.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1895/124352l.jpg'}","{'synonyms': ['Furious Ataro'], 'en': '', 'ja': 'もーれつア太郎'}",1969-04-04,1970-12-25,"Based on a manga of Akatsuka Fujio.

Batsugoro was the owner of a grocery store, Yaobatsu. When he tried to take a balloon hanged caught on the branch for a little child, he fell on to the ground to die. His son, Ataro, succeeded to the store, but Batsugoro was worried about him, and he remained there being a ghost. Ataro managed the shop alone, but soon his follower, Dekoppachi, began to help him. Being surrounded by strange characters such as, Nyarome, Butamatsu, the heart-warming story develops.

(Source: AnimeNfo)",18350,15278,468,77,white,2013-08-09T02:34:08+00:00,2015-11-18T00:21:49+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 15, 'name': 'Kids'}, {'id': 36, 'name': 'Slice of Life'}]",90,"{'year': 1969, 'season': 'spring'}","{'day_of_the_week': 'friday', 'start_time': '19:30'}",manga,1500,g,"[{'medium': 'https://cdn.myanimelist.net/images/anime/11/53377.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/53377l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1895/124352.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1895/124352l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1521/124353.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1521/124353l.jpg'}]",,"[{'node': {'id': 12391, 'title': 'Mouretsu Atarou (1990)', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/12/34815.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/34815l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 42111, 'title': 'Mouretsu 50 Ototarou', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1450/107819.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1450/107819l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}]",[],[],"[{'id': 18, 'name': 'Toei Animation'}]","{'status': {'watching': '34', 'completed': '123', 'on_hold': '17', 'dropped': '116', 'plan_to_watch': '178'}, 'num_list_users': 468}"
20003,Roppou Yabure-kun,"{'medium': 'https://cdn.myanimelist.net/images/anime/4/53313.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/53313l.jpg'}","{'synonyms': ['Six Broken Laws'], 'en': '', 'ja': '六法やぶれクン'}",1969-04-28,1969-09-26,"Short stories featuring the legal profession. The first anime to be broadcast on the new Nagoya Television Network (NTV).

Based on a story by Saga Sen.

(Source: AniDB)",19291,15551,441,57,white,2013-08-09T02:43:49+00:00,2013-08-09T14:09:27+00:00,tv,finished_airing,"[{'id': 36, 'name': 'Slice of Life'}]",110,"{'year': 1969, 'season': 'spring'}",300,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/4/53313.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/53313l.jpg'}]",,[],[],[],[],"{'status': {'watching': '29', 'completed': '117', 'on_hold': '16', 'dropped': '125', 'plan_to_watch': '154'}, 'num_list_users': 441}"
20005,Pinch to Punch,"{'medium': 'https://cdn.myanimelist.net/images/anime/9/53315.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/53315l.jpg'}","{'synonyms': ['Pinch & Punch'], 'en': '', 'ja': 'ピンチとパンチ'}",1969-09-29,1970-03-28,"A comedy about two goofy twins in the armed forces.

(Source: AniDB)",18951,15529,443,69,white,2013-08-09T02:50:45+00:00,2022-01-05T02:40:26+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}]",156,"{'year': 1969, 'season': 'fall'}",300,g,"[{'medium': 'https://cdn.myanimelist.net/images/anime/9/53315.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/53315l.jpg'}]",,[],[],[],[],"{'status': {'watching': '26', 'completed': '141', 'on_hold': '17', 'dropped': '118', 'plan_to_watch': '141'}, 'num_list_users': 443}"
20007,Hi Gekiga Ukiyoe Senya Ichiya,"{'medium': 'https://cdn.myanimelist.net/images/anime/6/53317.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/53317l.jpg'}","{'synonyms': [""Hi Gekiga Ukiyoe Sen'ya Ichiya"", ""Maruhi Gekiga Ukiyoe Sen'ya Ichiya"", 'Maruhi Gekiga: Ukiyo-e 1001 Nights'], 'en': '', 'ja': '(秘)劇画 浮世絵千一夜'}",1969-10-29,1969-10-29,"An adult movie about a painter whose pictures come alive and commit murder. This film was made in the wake of the success of the Mushi Pro 1001 Nights. Six scenes were cut for obscenity after the movie was released.

(Source: Pelleas)",13741,725,115,gray,2013-08-09T03:00:14+00:00,2022-03-27T04:04:58+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 12, 'name': 'Hentai'}]",1,"{'year': 1969, 'season': 'fall'}",4200,rx,"[{'medium': 'https://cdn.myanimelist.net/images/anime/6/53317.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/53317l.jpg'}]",,[],[],[],[],"{'status': {'watching': '58', 'completed': '177', 'on_hold': '42', 'dropped': '146', 'plan_to_watch': '302'}, 'num_list_users': 725}"
20009,Doubutsu Mura Monogatari,"{'medium': 'https://cdn.myanimelist.net/images/anime/4/53319.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/53319l.jpg'}","{'synonyms': [""The Story of the Animal's Village"", 'Animal Village Stories', 'Dobutsu Mura Monogatari'], 'en': '', 'ja': '動物村ものがたり'}",1970-03-30,1970-07-21,"A short kids series featuring cute animal stories.

(Source: AniDB)",15769,15749,422,71,white,2013-08-09T03:06:21+00:00,2013-08-09T14:34:50+00:00,tv,finished_airing,"[{'id': 15, 'name': 'Kids'}]",100,"{'year': 1970, 'season': 'spring'}",300,pg,"[{'medium': 'https://cdn.myanimelist.net/images/anime/4/53319.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/53319l.jpg'}]",,"[{'node': {'id': 29924, 'title': 'Goman-hiki', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/7/72003.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/72003l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}]",[],[],"[{'id': 191, 'name': 'Eiken'}]","{'status': {'watching': '24', 'completed': '134', 'on_hold': '22', 'dropped': '112', 'plan_to_watch': '130'}, 'num_list_users': 422}"
20021,Sword Art Online: Extra Edition,"{'medium': 'https://cdn.myanimelist.net/images/anime/1927/121997.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1927/121997l.jpg'}","{'synonyms': ['S.A.O: Extra Edition', 'SAO: Extra Edition'], 'en': 'Sword Art Online: Extra Edition', 'ja': 'ソードアート・オンライン Extra Edition'}",2013-12-31,2013-12-31,"The story is set a couple of years after the events of Sword Art Online, where Kazuto ""Kirito"" Kirigaya and his sister Suguha meet up with Asuna Yuuki, Rika ""Lisbeth"" Shinozaki, and Keiko ""Silica"" Ayano at the SAO Survivor School. Kirito then attends emergency counseling, while the girls go for a swim at the pool. It turns out that said ""emergency counseling"" is a subterfuge set up by Seijirou Kikuoka, aiming to rehash the incident of Sword Art Online in hopes of determining Akihiko Kayaba's motives. What will the girls get up to in the pool, and what awaits Kirito and his ""counseling""?

[Written by MAL Rewrite]
",6.55,6093,725,308380,184721,white,2013-08-09T15:08:06+00:00,2022-04-17T18:44:22+00:00,special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 79, 'name': 'Video Game'}]",1,"{'year': 2013, 'season': 'fall'}",light_novel,6077,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/12/56299.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/56299l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/5/57749.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/57749l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/80352.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/80352l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1927/121997.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1927/121997l.jpg'}]",,"[{'node': {'id': 11757, 'title': 'Sword Art Online', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/11/39717.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/39717l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 21879, 'title': 'Sword Art Online: Sword Art Offline - Extra Edition', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1944/122685.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1944/122685l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 21881, 'title': 'Sword Art Online II', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1223/121999.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1223/121999l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}]",[],[],"[{'id': 56, 'name': 'A-1 Pictures'}]","{'status': {'watching': '4587', 'completed': '266810', 'on_hold': '1637', 'dropped': '1932', 'plan_to_watch': '33413'}, 'num_list_users': 308379}"
20023,Otanoshimi Anime Gekijou,"{'medium': 'https://cdn.myanimelist.net/images/anime/4/53389.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/53389l.jpg'}","{'synonyms': [], 'en': '', 'ja': 'おたのしみアニメ劇場'}",1970-04-05,1970-09-27,Based on the original story by Studio Zero.,18811,16164,385,47,white,2013-08-09T16:51:12+00:00,2022-03-08T05:39:30+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}]",26,"{'year': 1970, 'season': 'spring'}",3260,g,"[{'medium': 'https://cdn.myanimelist.net/images/anime/4/53389.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/53389l.jpg'}]",,[],[],[],[],"{'status': {'watching': '26', 'completed': '107', 'on_hold': '10', 'dropped': '112', 'plan_to_watch': '130'}, 'num_list_users': 385}"
20025,Itazura Tenshi Chippo-chan,"{'medium': 'https://cdn.myanimelist.net/images/anime/10/53413.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/53413l.jpg'}","{'synonyms': ['Chippo the Mischievous Angel'], 'en': '', 'ja': 'いたずら天使チッポちゃん'}",1970-03-30,1970-12-31,"Humorous adventures of a silly angel, 5 minutes per episode.

(Source: AniDB)",16830,15961,401,74,white,2013-08-09T16:57:18+00:00,2022-03-22T22:44:00+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 15, 'name': 'Kids'}]",240,"{'year': 1970, 'season': 'spring'}",300,pg,"[{'medium': 'https://cdn.myanimelist.net/images/anime/10/53413.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/53413l.jpg'}]",,[],[],[],[],"{'status': {'watching': '23', 'completed': '150', 'on_hold': '12', 'dropped': '108', 'plan_to_watch': '108'}, 'num_list_users': 401}"
20027,Nihon Meisaku Douwa Series: Akai Tori no Kokoro,"{'medium': 'https://cdn.myanimelist.net/images/anime/1126/96190.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1126/96190l.jpg'}","{'synonyms': ['Heart of the Red Bird', 'Japanese Masterpiece Fairytale Series: Heart of the Red Bird'], 'en': '', 'ja': '日本名作童話シリーズ 赤い鳥のこころ'}",1979-02-05,1979-07-30,"A collection of children's stories originally printed in the popular magazine Akai Tori, which was published from 1918 to 1936.

(Source: AniDB)",18561,14630,552,100,white,2013-08-09T17:17:27+00:00,2019-08-08T00:57:45+00:00,tv,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 15, 'name': 'Kids'}]",26,"{'year': 1979, 'season': 'winter'}",1500,pg,"[{'medium': 'https://cdn.myanimelist.net/images/anime/6/53397.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/53397l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1126/96190.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1126/96190l.jpg'}]",,[],[],[],"[{'id': 247, 'name': 'Shin-Ei Animation'}]","{'status': {'watching': '33', 'completed': '150', 'on_hold': '16', 'dropped': '108', 'plan_to_watch': '245'}, 'num_list_users': 552}"
